filename,network,station,channel,trace_id,start_time,end_time,duration,sampling_rate,samples
GE.GSI.BH.gfz2009ymno.mseed,GE,GSI,BHZ,GE.GSI..BHZ,2009-12-15T14:43:31.119538,2009-12-15T14:48:31.919538,300.8,100.0,30081
GE.LUWI.BH.gfz2024hdte.mseed,GE,LUWI,BHE,GE.LUWI..BHE,2024-04-11T15:51:33.419538,2024-04-11T15:56:34.209538,300.79,100.0,30080
GE.LUWI.BH.gfz2024hdte.mseed,GE,LUWI,BHN,GE.LUWI..BHN,2024-04-11T15:51:33.419538,2024-04-11T15:56:34.209538,300.79,100.0,30080
GE.LUWI.BH.gfz2024hdte.mseed,GE,LUWI,BHZ,GE.LUWI..BHZ,2024-04-11T15:51:33.419538,2024-04-11T15:56:34.209538,300.79,100.0,30080
GE.MMRI.BL.gfz2019hinv.mseed,GE,MMRI,BLE,GE.MMRI..BLE,2019-04-15T06:49:37.269538,2019-04-15T06:54:38.059538,300.79,100.0,30080
GE.MMRI.BL.gfz2019hinv.mseed,GE,MMRI,BLN,GE.MMRI..BLN,2019-04-15T06:49:37.269539,2019-04-15T06:54:38.059539,300.79,100.0,30080
GE.MMRI.BL.gfz2019hinv.mseed,GE,MMRI,BLZ,GE.MMRI..BLZ,2019-04-15T06:49:37.269538,2019-04-15T06:54:38.059538,300.79,100.0,30080
GE.SAUI.HH.gfz2009uvox.mseed,GE,SAUI,HHE,GE.SAUI..HHE,2009-10-24T14:40:51.118391,2009-10-24T14:45:51.928391,300.81,100.0,30082
GE.SAUI.HH.gfz2009uvox.mseed,GE,SAUI,HHN,GE.SAUI..HHN,2009-10-24T14:40:51.118391,2009-10-24T14:45:51.928391,300.81,100.0,30082
GE.SAUI.HH.gfz2009uvox.mseed,GE,SAUI,HHZ,GE.SAUI..HHZ,2009-10-24T14:40:51.118391,2009-10-24T14:45:51.928391,300.81,100.0,30082
GE.TNTI.BH.gfz2009czsb.mseed,GE,TNTI,BHE,GE.TNTI..BHE,2009-02-12T13:15:27.469538,2009-02-12T13:20:28.269538,300.8,100.0,30081
GE.TNTI.BH.gfz2009czsb.mseed,GE,TNTI,BHN,GE.TNTI..BHN,2009-02-12T13:15:27.469538,2009-02-12T13:20:28.269538,300.8,100.0,30081
GE.TNTI.BH.gfz2009czsb.mseed,GE,TNTI,BHZ,GE.TNTI..BHZ,2009-02-12T13:15:27.469538,2009-02-12T13:20:28.269538,300.8,100.0,30081
GE.MNAI.BL.gfz2012pnxz.mseed,GE,MNAI,BLE,GE.MNAI..BLE,2012-08-09T01:54:55.469538,2012-08-09T01:59:56.269538,300.8,100.0,30081
GE.MNAI.BL.gfz2012pnxz.mseed,GE,MNAI,BLN,GE.MNAI..BLN,2012-08-09T01:54:55.469538,2012-08-09T01:59:56.269538,300.8,100.0,30081
GE.MNAI.BL.gfz2012pnxz.mseed,GE,MNAI,BLZ,GE.MNAI..BLZ,2012-08-09T01:54:55.469538,2012-08-09T01:59:56.269538,300.8,100.0,30081
GE.FAKI.BH.gfz2024tutg.mseed,GE,FAKI,BHE,GE.FAKI..BHE,2024-10-08T17:38:15.019539,2024-10-08T17:43:15.809539,300.79,100.0,30080
